region,spp.name,extant,env.opt,time.of.origin,time.of.extinction,time.of.sp.origin,time.of.sp.extinction,reg.env,carry.cap
7,57,0,33.4115690493175,598,602,464,30001,25.4545454545455,10000
7,100,0,35.4980042343844,600,601,508,30001,25.4545454545455,10000
7,142,0,32.6556095972733,601,620,533,30001,25.4545454545455,10000
7,13,0,34.8926154850179,602,603,344,30001,25.4545454545455,10000
7,287,0,33.805001051474,602,604,587,30001,25.4545454545455,10000
7,198,0,34.2863233829769,603,604,559,30001,25.4545454545455,10000
7,178,0,35.0563910654342,603,604,552,30001,25.4545454545455,10000
7,72,0,35.7057229288059,604,605,480,30001,25.4545454545455,10000
7,122,0,34.6161352714814,604,605,523,30001,25.4545454545455,10000
7,349,0,33.1618262653902,604,612,602,30001,25.4545454545455,10000
7,111,0,33.203436578687,605,609,516,30001,25.4545454545455,10000
7,198,0,34.2863233829769,605,606,559,30001,25.4545454545455,10000
7,52,0,34.6618189916829,605,606,459,30001,25.4545454545455,10000
7,247,0,33.9287599871295,606,608,577,30001,25.4545454545455,10000
7,338,0,32.6155298994654,607,696,599,30001,25.4545454545455,10000
7,249,0,33.8069016594751,585,586,578,30001,25.4545454545455,10000
7,179,0,33.481958472877,608,609,553,30001,25.4545454545455,10000
7,206,0,33.7602008093554,609,613,562,30001,25.4545454545455,10000
7,255,0,34.3241132660581,609,611,581,30001,25.4545454545455,10000
7,337,0,33.8399982865733,610,615,599,30001,25.4545454545455,10000
7,106,0,34.564967168086,610,611,513,30001,25.4545454545455,10000
7,111,0,33.203436578687,610,612,516,30001,25.4545454545455,10000
7,303,0,34.2499171668313,610,611,591,30001,25.4545454545455,10000
7,361,0,34.2006299977494,611,612,604,30001,25.4545454545455,10000
7,198,0,34.2863233829769,611,612,559,30001,25.4545454545455,10000
7,233,0,33.8798468565153,611,613,570,30001,25.4545454545455,10000
7,53,0,35.6698472975185,482,483,460,30001,25.4545454545455,10000
7,124,0,32.7558382670771,612,617,524,30001,25.4545454545455,10000
7,150,0,35.7653799311275,612,613,540,30001,25.4545454545455,10000
7,221,0,33.2397850608726,612,613,567,30001,25.4545454545455,10000
7,368,0,35.8390738214389,612,613,605,30001,25.4545454545455,10000
7,342,0,33.3804961828513,613,615,600,30001,25.4545454545455,10000
7,258,0,34.4650634918162,614,615,581,30001,25.4545454545455,10000
7,52,0,34.6618189916829,614,615,459,30001,25.4545454545455,10000
7,228,0,34.1408692005514,614,615,568,30001,25.4545454545455,10000
7,332,0,34.7078310530789,616,617,597,30001,25.4545454545455,10000
7,148,0,34.4667448406755,616,617,539,30001,25.4545454545455,10000
7,174,0,35.0694173638451,616,617,550,30001,25.4545454545455,10000
7,349,0,33.1618262653902,616,621,602,30001,25.4545454545455,10000
7,268,0,34.3551916427142,617,618,584,30001,25.4545454545455,10000
7,36,0,34.9726884869901,519,520,433,30001,25.4545454545455,10000
7,177,0,34.4353191741316,617,618,552,30001,25.4545454545455,10000
7,111,0,33.203436578687,617,618,516,30001,25.4545454545455,10000
7,36,0,34.9726884869901,618,619,433,30001,25.4545454545455,10000
7,111,0,33.203436578687,530,532,516,30001,25.4545454545455,10000
7,37,0,34.6227379552148,618,619,439,30001,25.4545454545455,10000
7,263,0,35.1895193249779,618,619,582,30001,25.4545454545455,10000
7,191,0,34.5136879115442,619,620,557,30001,25.4545454545455,10000
7,391,0,33.2880078141313,619,620,609,30001,25.4545454545455,10000
7,111,0,33.203436578687,620,621,516,30001,25.4545454545455,10000
7,41,0,33.7575878406081,532,535,443,30001,25.4545454545455,10000
7,88,0,33.5055228217179,620,621,498,30001,25.4545454545455,10000
7,124,0,32.7558382670771,621,658,524,30001,25.4545454545455,10000
7,221,0,33.2397850608726,621,622,567,30001,25.4545454545455,10000
7,207,0,34.5223836300354,621,622,562,30001,25.4545454545455,10000
7,233,0,33.8798468565153,621,622,570,30001,25.4545454545455,10000
7,179,0,33.481958472877,622,624,553,30001,25.4545454545455,10000
7,148,0,34.4667448406755,623,624,539,30001,25.4545454545455,10000
7,71,0,33.8086562482586,623,624,480,30001,25.4545454545455,10000
7,390,0,33.8479483013038,623,624,609,30001,25.4545454545455,10000
7,5,0,35.7498716977852,623,624,262,30001,25.4545454545455,10000
7,111,0,33.203436578687,545,546,516,30001,25.4545454545455,10000
7,41,0,33.7575878406081,624,625,443,30001,25.4545454545455,10000
7,66,0,36.2145922792617,624,625,477,30001,25.4545454545455,10000
7,152,1,31.8872169015211,555,30001,541,30001,25.4545454545455,10000
7,41,0,33.7575878406081,489,490,443,30001,25.4545454545455,10000
7,57,0,33.4115690493175,557,558,464,30001,25.4545454545455,10000
7,349,0,33.1618262653902,625,629,602,30001,25.4545454545455,10000
7,366,0,33.6012546474782,626,628,605,30001,25.4545454545455,10000
7,75,0,34.4079094183507,561,562,482,30001,25.4545454545455,10000
7,248,0,34.0618719484773,626,627,577,30001,25.4545454545455,10000
7,468,0,33.9125430924901,626,627,622,30001,25.4545454545455,10000
7,57,0,33.4115690493175,626,628,464,30001,25.4545454545455,10000
7,90,0,33.2008517759557,627,629,499,30001,25.4545454545455,10000
7,154,0,36.1623333031941,568,569,541,30001,25.4545454545455,10000
7,391,0,33.2880078141313,628,629,609,30001,25.4545454545455,10000
7,173,0,34.6994257084487,629,630,550,30001,25.4545454545455,10000
7,6,0,34.5075419223446,629,630,294,30001,25.4545454545455,10000
7,105,0,34.7277249039207,630,631,512,30001,25.4545454545455,10000
7,481,0,33.3131411629142,631,634,624,30001,25.4545454545455,10000
7,233,0,33.8798468565153,575,576,570,30001,25.4545454545455,10000
7,26,0,34.7574614913368,631,632,400,30001,25.4545454545455,10000
7,197,0,35.6399050399113,631,632,559,30001,25.4545454545455,10000
7,198,0,34.2863233829769,632,633,559,30001,25.4545454545455,10000
7,392,0,36.0538784648365,632,633,609,30001,25.4545454545455,10000
7,255,0,34.3241132660581,633,634,581,30001,25.4545454545455,10000
7,452,0,33.7451019303499,633,634,620,30001,25.4545454545455,10000
7,75,0,34.4079094183507,633,635,482,30001,25.4545454545455,10000
7,52,0,34.6618189916829,634,635,459,30001,25.4545454545455,10000
7,71,0,33.8086562482586,634,635,480,30001,25.4545454545455,10000
7,162,0,34.6652894543283,635,636,545,30001,25.4545454545455,10000
7,228,0,34.1408692005514,583,585,568,30001,25.4545454545455,10000
7,179,0,33.481958472877,636,637,553,30001,25.4545454545455,10000
7,87,0,35.6921671755386,636,637,497,30001,25.4545454545455,10000
7,386,0,34.277732988299,636,637,607,30001,25.4545454545455,10000
7,82,0,34.8470570074541,526,527,490,30001,25.4545454545455,10000
7,10,0,36.2427504031237,538,539,334,30001,25.4545454545455,10000
7,6,0,34.5075419223446,637,638,294,30001,25.4545454545455,10000
7,71,0,33.8086562482586,637,641,480,30001,25.4545454545455,10000
7,255,0,34.3241132660581,637,638,581,30001,25.4545454545455,10000
7,496,0,32.4723486008,637,656,626,30001,25.4545454545455,10000
7,428,1,31.8049281615136,637,30001,616,30001,25.4545454545455,10000
7,179,0,33.481958472877,638,639,553,30001,25.4545454545455,10000
7,150,0,35.7653799311275,639,640,540,30001,25.4545454545455,10000
7,248,0,34.0618719484773,639,642,577,30001,25.4545454545455,10000
7,200,0,34.7281611710741,639,640,560,30001,25.4545454545455,10000
7,452,0,33.7451019303499,640,642,620,30001,25.4545454545455,10000
7,514,0,34.645732957366,641,643,629,30001,25.4545454545455,10000
7,221,0,33.2397850608726,641,658,567,30001,25.4545454545455,10000
7,359,0,35.5637964595681,641,642,603,30001,25.4545454545455,10000
7,459,0,35.5475434515098,642,643,621,30001,25.4545454545455,10000
7,197,0,35.6399050399113,592,593,559,30001,25.4545454545455,10000
7,382,0,34.3729894556198,642,643,607,30001,25.4545454545455,10000
7,452,0,33.7451019303499,643,644,620,30001,25.4545454545455,10000
7,522,0,35.1355513236093,643,644,630,30001,25.4545454545455,10000
7,111,0,33.203436578687,643,646,516,30001,25.4545454545455,10000
7,342,0,33.3804961828513,643,649,600,30001,25.4545454545455,10000
7,13,0,34.8926154850179,643,644,344,30001,25.4545454545455,10000
7,198,0,34.2863233829769,643,645,559,30001,25.4545454545455,10000
7,324,0,34.9348248957656,644,645,595,30001,25.4545454545455,10000
7,88,0,33.5055228217179,644,647,498,30001,25.4545454545455,10000
7,225,0,35.9145910619694,644,645,568,30001,25.4545454545455,10000
7,366,0,33.6012546474782,644,645,605,30001,25.4545454545455,10000
7,480,0,32.4087400287452,644,711,624,30001,25.4545454545455,10000
7,499,0,34.126199900462,644,645,626,30001,25.4545454545455,10000
7,595,0,34.5211099979165,644,645,641,30001,25.4545454545455,10000
7,258,0,34.4650634918162,645,647,581,30001,25.4545454545455,10000
7,290,0,34.4300985601964,645,646,588,30001,25.4545454545455,10000
7,287,0,33.805001051474,645,646,587,30001,25.4545454545455,10000
7,67,0,36.4012399883746,645,646,477,30001,25.4545454545455,10000
7,219,0,35.2631734513102,646,647,566,30001,25.4545454545455,10000
7,377,0,33.0512150486927,646,668,606,30001,25.4545454545455,10000
7,71,0,33.8086562482586,646,648,480,30001,25.4545454545455,10000
7,386,0,34.277732988299,647,648,607,30001,25.4545454545455,10000
7,452,0,33.7451019303499,647,648,620,30001,25.4545454545455,10000
7,198,0,34.2863233829769,647,648,559,30001,25.4545454545455,10000
7,361,0,34.2006299977494,647,648,604,30001,25.4545454545455,10000
7,70,0,34.71398068714,648,649,480,30001,25.4545454545455,10000
7,183,0,33.8573922483654,648,652,554,30001,25.4545454545455,10000
7,276,0,34.4807370410219,648,649,586,30001,25.4545454545455,10000
7,522,0,35.1355513236093,648,649,630,30001,25.4545454545455,10000
7,277,0,36.5276759930809,648,649,586,30001,25.4545454545455,10000
7,544,1,32.2238972351201,649,30001,635,30001,25.4545454545455,10000
7,390,0,33.8479483013038,649,651,609,30001,25.4545454545455,10000
7,71,0,33.8086562482586,649,653,480,30001,25.4545454545455,10000
7,52,0,34.6618189916829,650,651,459,30001,25.4545454545455,10000
7,386,0,34.277732988299,651,653,607,30001,25.4545454545455,10000
7,247,0,33.9287599871295,612,613,577,30001,25.4545454545455,10000
7,522,0,35.1355513236093,651,652,630,30001,25.4545454545455,10000
7,233,0,33.8798468565153,652,653,570,30001,25.4545454545455,10000
7,481,0,33.3131411629142,652,656,624,30001,25.4545454545455,10000
7,646,0,34.9722461518226,652,653,648,30001,25.4545454545455,10000
7,90,0,33.2008517759557,652,658,499,30001,25.4545454545455,10000
7,37,0,34.6227379552148,653,654,439,30001,25.4545454545455,10000
7,209,0,35.9775062857107,653,654,563,30001,25.4545454545455,10000
7,248,0,34.0618719484773,653,654,577,30001,25.4545454545455,10000
7,585,0,34.1527953236514,653,655,640,30001,25.4545454545455,10000
7,516,0,33.0278637694719,654,668,629,30001,25.4545454545455,10000
7,372,0,35.7777192607191,654,655,605,30001,25.4545454545455,10000
7,155,0,34.5991023869312,654,655,542,30001,25.4545454545455,10000
7,360,0,33.6089737467098,655,656,604,30001,25.4545454545455,10000
7,333,0,35.7591972559814,655,656,597,30001,25.4545454545455,10000
7,349,0,33.1618262653902,655,660,602,30001,25.4545454545455,10000
7,487,0,33.4314075165052,655,656,625,30001,25.4545454545455,10000
7,679,1,30.6156615717241,655,30001,653,30001,25.4545454545455,10000
7,389,0,35.0583733096903,618,619,608,30001,25.4545454545455,10000
7,36,0,34.9726884869901,656,657,433,30001,25.4545454545455,10000
7,296,0,35.9067849735242,657,658,589,30001,25.4545454545455,10000
7,249,0,33.8069016594751,657,659,578,30001,25.4545454545455,10000
7,329,0,34.5098502014988,657,658,596,30001,25.4545454545455,10000
7,527,0,34.4756131678765,657,658,630,30001,25.4545454545455,10000
7,705,1,32.2503386293653,657,30001,655,30001,25.4545454545455,10000
7,613,0,33.4534472700895,658,659,644,30001,25.4545454545455,10000
7,342,0,33.3804961828513,658,659,600,30001,25.4545454545455,10000
7,452,0,33.7451019303499,658,661,620,30001,25.4545454545455,10000
7,504,0,35.3479911412637,658,659,627,30001,25.4545454545455,10000
7,633,0,32.6633692032235,659,685,647,30001,25.4545454545455,10000
7,706,0,33.2605025843916,659,664,655,30001,25.4545454545455,10000
7,88,0,33.5055228217179,659,660,498,30001,25.4545454545455,10000
7,124,0,32.7558382670771,660,682,524,30001,25.4545454545455,10000
7,97,0,34.9021002871579,660,661,505,30001,25.4545454545455,10000
7,206,0,33.7602008093554,660,661,562,30001,25.4545454545455,10000
7,235,0,34.2250900307359,624,625,570,30001,25.4545454545455,10000
7,386,0,34.277732988299,660,661,607,30001,25.4545454545455,10000
7,353,0,33.0571580032764,661,668,602,30001,25.4545454545455,10000
7,111,0,33.203436578687,661,662,516,30001,25.4545454545455,10000
7,248,0,34.0618719484773,661,663,577,30001,25.4545454545455,10000
7,360,0,33.6089737467098,661,662,604,30001,25.4545454545455,10000
7,581,0,33.754349825195,661,662,639,30001,25.4545454545455,10000
7,290,0,34.4300985601964,660,661,588,30001,25.4545454545455,10000
7,360,0,33.6089737467098,626,630,604,30001,25.4545454545455,10000
7,90,0,33.2008517759557,663,665,499,30001,25.4545454545455,10000
7,337,0,33.8399982865733,663,664,599,30001,25.4545454545455,10000
7,390,0,33.8479483013038,663,664,609,30001,25.4545454545455,10000
7,355,0,34.7576164694055,663,664,603,30001,25.4545454545455,10000
7,142,0,32.6556095972733,627,677,533,30001,25.4545454545455,10000
7,514,0,34.645732957366,663,664,629,30001,25.4545454545455,10000
7,139,0,34.5279754870518,663,665,532,30001,25.4545454545455,10000
7,527,0,34.4756131678765,664,665,630,30001,25.4545454545455,10000
7,615,0,33.9830066122416,664,665,644,30001,25.4545454545455,10000
7,254,0,36.3476915342014,664,665,580,30001,25.4545454545455,10000
7,111,0,33.203436578687,631,633,516,30001,25.4545454545455,10000
7,41,0,33.7575878406081,665,666,443,30001,25.4545454545455,10000
7,694,0,33.0022581166697,666,667,654,30001,25.4545454545455,10000
7,90,0,33.2008517759557,666,671,499,30001,25.4545454545455,10000
7,175,0,34.193892707274,666,668,550,30001,25.4545454545455,10000
7,649,0,33.042850360995,666,672,648,30001,25.4545454545455,10000
7,75,0,34.4079094183507,666,667,482,30001,25.4545454545455,10000
7,684,0,33.1053141082158,666,667,653,30001,25.4545454545455,10000
7,233,0,33.8798468565153,667,668,570,30001,25.4545454545455,10000
7,179,0,33.481958472877,667,670,553,30001,25.4545454545455,10000
7,106,0,34.564967168086,667,668,513,30001,25.4545454545455,10000
7,139,0,34.5279754870518,667,668,532,30001,25.4545454545455,10000
7,490,0,34.6131091704699,668,669,625,30001,25.4545454545455,10000
7,162,0,34.6652894543283,668,669,545,30001,25.4545454545455,10000
7,334,0,34.9031074268864,668,669,598,30001,25.4545454545455,10000
7,183,0,33.8573922483654,585,586,554,30001,25.4545454545455,10000
7,391,0,33.2880078141313,637,646,609,30001,25.4545454545455,10000
7,613,0,33.4534472700895,668,671,644,30001,25.4545454545455,10000
7,722,0,35.9878469703986,668,669,656,30001,25.4545454545455,10000
7,687,0,33.5937485975158,668,669,653,30001,25.4545454545455,10000
7,377,0,33.0512150486927,669,670,606,30001,25.4545454545455,10000
7,706,0,33.2605025843916,669,674,655,30001,25.4545454545455,10000
7,516,0,33.0278637694719,669,671,629,30001,25.4545454545455,10000
7,720,0,34.7261281157564,669,670,656,30001,25.4545454545455,10000
7,741,0,32.8579321914122,669,724,658,30001,25.4545454545455,10000
7,276,0,34.4807370410219,669,670,586,30001,25.4545454545455,10000
7,183,0,33.8573922483654,670,671,554,30001,25.4545454545455,10000
7,221,0,33.2397850608726,670,676,567,30001,25.4545454545455,10000
7,636,0,33.5773304349337,670,671,647,30001,25.4545454545455,10000
7,687,0,33.5937485975158,670,672,653,30001,25.4545454545455,10000
7,200,0,34.7281611710741,670,671,560,30001,25.4545454545455,10000
7,233,0,33.8798468565153,642,644,570,30001,25.4545454545455,10000
7,473,0,33.440111783642,671,672,623,30001,25.4545454545455,10000
7,434,0,35.3210475608038,671,672,617,30001,25.4545454545455,10000
7,32,0,35.7424297637628,672,673,419,30001,25.4545454545455,10000
7,377,0,33.0512150486927,672,673,606,30001,25.4545454545455,10000
7,585,0,34.1527953236514,672,673,640,30001,25.4545454545455,10000
7,635,1,32.5850407972708,672,30001,647,30001,25.4545454545455,10000
7,688,0,33.2445344259419,672,673,653,30001,25.4545454545455,10000
7,590,0,35.4605899119618,673,674,640,30001,25.4545454545455,10000
7,645,0,33.7189418654043,673,674,648,30001,25.4545454545455,10000
7,833,0,34.1542700516189,673,674,668,30001,25.4545454545455,10000
7,856,1,31.378641842658,673,30001,670,30001,25.4545454545455,10000
7,360,0,33.6089737467098,673,676,604,30001,25.4545454545455,10000
7,720,0,34.7261281157564,674,675,656,30001,25.4545454545455,10000
7,357,0,36.470357414414,674,675,603,30001,25.4545454545455,10000
7,285,0,35.5043622434625,674,675,587,30001,25.4545454545455,10000
7,632,0,33.5088613855085,674,675,647,30001,25.4545454545455,10000
7,332,0,34.7078310530789,675,676,597,30001,25.4545454545455,10000
7,377,0,33.0512150486927,675,684,606,30001,25.4545454545455,10000
7,414,0,34.2150037281213,675,676,612,30001,25.4545454545455,10000
7,468,0,33.9125430924901,675,677,622,30001,25.4545454545455,10000
7,694,0,33.0022581166697,675,685,654,30001,25.4545454545455,10000
7,751,0,34.7049589979869,675,676,659,30001,25.4545454545455,10000
7,687,0,33.5937485975158,675,676,653,30001,25.4545454545455,10000
7,82,0,34.8470570074541,675,676,490,30001,25.4545454545455,10000
7,148,0,34.4667448406755,675,677,539,30001,25.4545454545455,10000
7,139,0,34.5279754870518,675,676,532,30001,25.4545454545455,10000
7,88,0,33.5055228217179,675,677,498,30001,25.4545454545455,10000
7,750,0,33.4268230891353,676,677,659,30001,25.4545454545455,10000
7,684,0,33.1053141082158,676,677,653,30001,25.4545454545455,10000
7,763,0,33.1185586028684,676,687,660,30001,25.4545454545455,10000
7,688,0,33.2445344259419,676,678,653,30001,25.4545454545455,10000
7,349,0,33.1618262653902,676,677,602,30001,25.4545454545455,10000
7,658,1,32.2947163021035,676,30001,649,30001,25.4545454545455,10000
7,353,0,33.0571580032764,677,686,602,30001,25.4545454545455,10000
7,706,0,33.2605025843916,677,680,655,30001,25.4545454545455,10000
7,36,0,34.9726884869901,677,678,433,30001,25.4545454545455,10000
7,885,1,31.7348388613844,677,30001,672,30001,25.4545454545455,10000
7,654,0,35.1802219604981,678,679,649,30001,25.4545454545455,10000
7,683,0,34.7023676503661,678,679,653,30001,25.4545454545455,10000
7,337,0,33.8399982865733,678,679,599,30001,25.4545454545455,10000
7,207,0,34.5223836300354,678,679,562,30001,25.4545454545455,10000
7,106,0,34.564967168086,678,679,513,30001,25.4545454545455,10000
7,347,0,34.5645226126085,679,680,601,30001,25.4545454545455,10000
7,90,0,33.2008517759557,505,506,499,30001,25.4545454545455,10000
7,452,0,33.7451019303499,679,681,620,30001,25.4545454545455,10000
7,307,0,36.2600759436837,679,680,592,30001,25.4545454545455,10000
7,36,0,34.9726884869901,679,680,433,30001,25.4545454545455,10000
7,349,0,33.1618262653902,679,682,602,30001,25.4545454545455,10000
7,142,0,32.6556095972733,679,712,533,30001,25.4545454545455,10000
7,212,0,35.8933355358705,680,681,563,30001,25.4545454545455,10000
7,111,0,33.203436578687,680,682,516,30001,25.4545454545455,10000
7,388,0,34.9716667679435,680,681,608,30001,25.4545454545455,10000
7,366,0,33.6012546474782,680,681,605,30001,25.4545454545455,10000
7,688,0,33.2445344259419,680,683,653,30001,25.4545454545455,10000
7,206,0,33.7602008093554,680,681,562,30001,25.4545454545455,10000
7,645,0,33.7189418654043,680,681,648,30001,25.4545454545455,10000
7,613,0,33.4534472700895,680,682,644,30001,25.4545454545455,10000
