"sim.id","status","reg.of.origin","w","alpha","beta","sigma_E","carry.cap","energy.gradient","max.K","num.of.bins","max.time","max.richness","replicate","disturb_frequency","temperate_disturb_intensity","tropical_disturb_intensity","specn.gradient","specn.factor","gamma"
1916,"completed","temperate",5,1e-07,1e-05,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1917,"completed","temperate",5,1e-07,1e-05,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1918,"completed","temperate",5,1e-07,1e-05,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1919,"completed","temperate",5,1e-07,1e-05,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1920,"completed","temperate",5,1e-07,1e-05,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1921,"completed","temperate",5,1e-07,1e-04,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1922,"completed","temperate",5,1e-07,1e-04,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1923,"completed","temperate",5,1e-07,1e-04,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1924,"completed","temperate",5,1e-07,1e-04,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1925,"completed","temperate",5,1e-07,1e-04,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1926,"completed","temperate",5,1e-07,1e-04,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1927,"completed","temperate",5,1e-07,1e-04,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1928,"completed","temperate",5,1e-07,1e-04,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1929,"completed","temperate",5,1e-07,1e-04,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1930,"completed","temperate",5,1e-07,1e-04,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1931,"completed","temperate",5,1e-07,1e-04,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1932,"completed","temperate",5,1e-07,1e-04,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1933,"completed","temperate",5,1e-07,1e-04,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1934,"completed","temperate",5,1e-07,1e-04,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1935,"completed","temperate",5,1e-07,1e-04,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1936,"completed","temperate",5,1e-07,1e-04,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1937,"completed","temperate",5,1e-07,1e-04,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1938,"completed","temperate",5,1e-07,1e-04,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1939,"completed","temperate",5,1e-07,1e-04,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1940,"completed","temperate",5,1e-07,1e-04,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1941,"completed","temperate",5,1e-07,1e-04,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1942,"completed","temperate",5,1e-07,1e-04,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1943,"completed","temperate",5,1e-07,1e-04,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1944,"completed","temperate",5,1e-07,1e-04,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1945,"completed","temperate",7,1e-05,1e-04,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1946,"completed","temperate",7,1e-05,1e-04,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1947,"completed","temperate",7,1e-05,1e-04,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1948,"completed","temperate",7,1e-05,1e-04,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1949,"completed","temperate",7,1e-05,1e-04,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1950,"completed","temperate",7,1e-05,1e-04,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1951,"completed","temperate",7,1e-05,1e-04,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1952,"completed","temperate",7,1e-05,1e-04,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1953,"completed","temperate",7,1e-05,1e-04,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1954,"completed","temperate",7,1e-05,1e-04,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1955,"completed","temperate",7,1e-05,1e-04,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1956,"completed","temperate",7,1e-05,1e-04,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1957,"completed","temperate",7,1e-05,1e-04,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1958,"completed","temperate",7,1e-05,1e-04,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1959,"completed","temperate",7,1e-05,1e-04,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1960,"completed","temperate",7,1e-05,1e-04,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1961,"completed","temperate",7,1e-05,1e-04,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1962,"completed","temperate",7,1e-05,1e-04,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1963,"completed","temperate",7,1e-05,1e-04,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1964,"completed","temperate",7,1e-05,1e-04,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1965,"completed","temperate",7,1e-05,1e-04,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1966,"completed","temperate",7,1e-05,1e-04,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1967,"completed","temperate",7,1e-05,1e-04,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1968,"completed","temperate",7,1e-05,1e-04,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1969,"completed","temperate",7,1e-05,0.001,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1970,"completed","temperate",7,1e-05,0.001,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1971,"completed","temperate",7,1e-05,0.001,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1972,"completed","temperate",7,1e-05,0.001,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1973,"completed","temperate",7,1e-05,0.001,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1974,"completed","temperate",7,1e-05,0.001,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1975,"completed","temperate",7,1e-05,0.001,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1976,"completed","temperate",7,1e-05,0.001,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1977,"completed","temperate",7,1e-05,0.001,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1978,"completed","temperate",7,1e-05,0.001,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1979,"completed","temperate",7,1e-05,0.001,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1980,"completed","temperate",7,1e-05,0.001,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1981,"completed","temperate",7,1e-05,0.001,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1982,"completed","temperate",7,1e-05,0.001,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1983,"completed","temperate",7,1e-05,0.001,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1984,"completed","temperate",7,1e-05,0.001,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1985,"completed","temperate",7,1e-05,0.001,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1986,"completed","temperate",7,1e-05,0.001,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1987,"completed","temperate",7,1e-05,0.001,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1988,"completed","temperate",7,1e-05,0.001,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1989,"completed","temperate",7,1e-05,0.001,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1990,"completed","temperate",7,1e-05,0.001,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1991,"completed","temperate",7,1e-05,0.001,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1992,"completed","temperate",7,1e-05,0.001,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1993,"completed","temperate",7,1e-05,0.01,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1994,"completed","temperate",7,1e-05,0.01,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1995,"completed","temperate",7,1e-05,0.01,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1996,"completed","temperate",7,1e-05,0.01,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1997,"completed","temperate",7,1e-05,0.01,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1998,"completed","temperate",7,1e-05,0.01,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
1999,"completed","temperate",7,1e-05,0.01,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2000,"completed","temperate",7,1e-05,0.01,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2001,"completed","temperate",7,1e-05,0.01,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2002,"completed","temperate",7,1e-05,0.01,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2003,"completed","temperate",7,1e-05,0.01,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2004,"completed","temperate",7,1e-05,0.01,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2005,"completed","temperate",7,1e-05,0.01,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2006,"completed","temperate",7,1e-05,0.01,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2007,"completed","temperate",7,1e-05,0.01,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2008,"completed","temperate",7,1e-05,0.01,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2009,"completed","temperate",7,1e-05,0.01,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2010,"completed","temperate",7,1e-05,0.01,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2011,"completed","temperate",7,1e-05,0.01,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2012,"completed","temperate",7,1e-05,0.01,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2013,"completed","temperate",7,1e-05,0.01,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2014,"completed","temperate",7,1e-05,0.01,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2015,"completed","temperate",7,1e-05,0.01,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2016,"completed","temperate",7,1e-05,0.01,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2017,"completed","temperate",7,1e-06,1e-05,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2018,"completed","temperate",7,1e-06,1e-05,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2019,"completed","temperate",7,1e-06,1e-05,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2020,"completed","temperate",7,1e-06,1e-05,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2021,"completed","temperate",7,1e-06,1e-05,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2022,"completed","temperate",7,1e-06,1e-05,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2023,"completed","temperate",7,1e-06,1e-05,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2024,"completed","temperate",7,1e-06,1e-05,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2025,"completed","temperate",7,1e-06,1e-05,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2026,"completed","temperate",7,1e-06,1e-05,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2027,"completed","temperate",7,1e-06,1e-05,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2028,"completed","temperate",7,1e-06,1e-05,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2029,"completed","temperate",7,1e-06,1e-05,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2030,"completed","temperate",7,1e-06,1e-05,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2031,"completed","temperate",7,1e-06,1e-05,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2032,"completed","temperate",7,1e-06,1e-05,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2033,"completed","temperate",7,1e-06,1e-05,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2034,"completed","temperate",7,1e-06,1e-05,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2035,"completed","temperate",7,1e-06,1e-05,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2036,"completed","temperate",7,1e-06,1e-05,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2037,"completed","temperate",7,1e-06,1e-05,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2038,"completed","temperate",7,1e-06,1e-05,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2039,"completed","temperate",7,1e-06,1e-05,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2040,"completed","temperate",7,1e-06,1e-05,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2041,"completed","temperate",7,1e-06,1e-04,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2042,"completed","temperate",7,1e-06,1e-04,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2043,"completed","temperate",7,1e-06,1e-04,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2044,"completed","temperate",7,1e-06,1e-04,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2045,"completed","temperate",7,1e-06,1e-04,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2046,"completed","temperate",7,1e-06,1e-04,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2047,"completed","temperate",7,1e-06,1e-04,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2048,"completed","temperate",7,1e-06,1e-04,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2049,"completed","temperate",7,1e-06,1e-04,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2050,"completed","temperate",7,1e-06,1e-04,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2051,"completed","temperate",7,1e-06,1e-04,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2052,"completed","temperate",7,1e-06,1e-04,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2053,"completed","temperate",7,1e-06,1e-04,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2054,"completed","temperate",7,1e-06,1e-04,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2055,"completed","temperate",7,1e-06,1e-04,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2056,"completed","temperate",7,1e-06,1e-04,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2057,"completed","temperate",7,1e-06,1e-04,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2058,"completed","temperate",7,1e-06,1e-04,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2059,"completed","temperate",7,1e-06,1e-04,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2060,"completed","temperate",7,1e-06,1e-04,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2061,"completed","temperate",7,1e-06,1e-04,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2062,"completed","temperate",7,1e-06,1e-04,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2063,"completed","temperate",7,1e-06,1e-04,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2064,"completed","temperate",7,1e-06,1e-04,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2065,"completed","temperate",7,1e-06,0.001,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2066,"completed","temperate",7,1e-06,0.001,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2067,"completed","temperate",7,1e-06,0.001,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2068,"completed","temperate",7,1e-06,0.001,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2069,"completed","temperate",7,1e-06,0.001,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2070,"completed","temperate",7,1e-06,0.001,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2071,"completed","temperate",7,1e-06,0.001,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2072,"completed","temperate",7,1e-06,0.001,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2073,"completed","temperate",7,1e-06,0.001,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2074,"completed","temperate",7,1e-06,0.001,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2075,"completed","temperate",7,1e-06,0.001,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2076,"completed","temperate",7,1e-06,0.001,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2077,"completed","temperate",7,1e-06,0.001,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2078,"completed","temperate",7,1e-06,0.001,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2079,"completed","temperate",7,1e-06,0.001,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2080,"completed","temperate",7,1e-06,0.001,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2081,"completed","temperate",7,1e-06,0.001,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2082,"completed","temperate",7,1e-06,0.001,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2083,"completed","temperate",7,1e-06,0.001,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2084,"completed","temperate",7,1e-06,0.001,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2085,"completed","temperate",7,1e-06,0.001,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2086,"completed","temperate",7,1e-06,0.001,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2087,"completed","temperate",7,1e-06,0.001,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2088,"completed","temperate",7,1e-06,0.001,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2089,"completed","temperate",7,1e-07,1e-06,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2090,"completed","temperate",7,1e-07,1e-06,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2091,"completed","temperate",7,1e-07,1e-06,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2092,"completed","temperate",7,1e-07,1e-06,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2093,"completed","temperate",7,1e-07,1e-06,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2094,"completed","temperate",7,1e-07,1e-06,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2095,"completed","temperate",7,1e-07,1e-06,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2096,"completed","temperate",7,1e-07,1e-06,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2097,"completed","temperate",7,1e-07,1e-06,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2098,"completed","temperate",7,1e-07,1e-06,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2099,"completed","temperate",7,1e-07,1e-06,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2100,"completed","temperate",7,1e-07,1e-06,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2101,"completed","temperate",7,1e-07,1e-06,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2102,"completed","temperate",7,1e-07,1e-06,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2103,"completed","temperate",7,1e-07,1e-06,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2104,"completed","temperate",7,1e-07,1e-06,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2105,"completed","temperate",7,1e-07,1e-06,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2106,"completed","temperate",7,1e-07,1e-06,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2107,"completed","temperate",7,1e-07,1e-06,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2108,"completed","temperate",7,1e-07,1e-06,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2109,"completed","temperate",7,1e-07,1e-06,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2110,"completed","temperate",7,1e-07,1e-06,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2111,"completed","temperate",7,1e-07,1e-06,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2112,"completed","temperate",7,1e-07,1e-06,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2113,"completed","temperate",7,1e-07,1e-05,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2114,"completed","temperate",7,1e-07,1e-05,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2115,"completed","temperate",7,1e-07,1e-05,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2116,"completed","temperate",7,1e-07,1e-05,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2117,"completed","temperate",7,1e-07,1e-05,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2118,"completed","temperate",7,1e-07,1e-05,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2119,"completed","temperate",7,1e-07,1e-05,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2120,"completed","temperate",7,1e-07,1e-05,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2121,"completed","temperate",7,1e-07,1e-05,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2122,"completed","temperate",7,1e-07,1e-05,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2123,"completed","temperate",7,1e-07,1e-05,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2124,"completed","temperate",7,1e-07,1e-05,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2125,"completed","temperate",7,1e-07,1e-05,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2126,"completed","temperate",7,1e-07,1e-05,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2127,"completed","temperate",7,1e-07,1e-05,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2128,"completed","temperate",7,1e-07,1e-05,7,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2129,"completed","temperate",7,1e-07,1e-05,9,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2130,"completed","temperate",7,1e-07,1e-05,9,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2131,"completed","temperate",7,1e-07,1e-05,9,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2132,"completed","temperate",7,1e-07,1e-05,9,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2133,"completed","temperate",7,1e-07,1e-05,11,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2134,"completed","temperate",7,1e-07,1e-05,11,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2135,"completed","temperate",7,1e-07,1e-05,11,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2136,"completed","temperate",7,1e-07,1e-05,11,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2137,"completed","temperate",7,1e-07,1e-04,1,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2138,"completed","temperate",7,1e-07,1e-04,1,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2139,"completed","temperate",7,1e-07,1e-04,1,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2140,"completed","temperate",7,1e-07,1e-04,1,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2141,"completed","temperate",7,1e-07,1e-04,3,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2142,"completed","temperate",7,1e-07,1e-04,3,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2143,"completed","temperate",7,1e-07,1e-04,3,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2144,"completed","temperate",7,1e-07,1e-04,3,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2145,"completed","temperate",7,1e-07,1e-04,5,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2146,"completed","temperate",7,1e-07,1e-04,5,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2147,"completed","temperate",7,1e-07,1e-04,5,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2148,"completed","temperate",7,1e-07,1e-04,5,"off","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2149,"completed","temperate",7,1e-07,1e-04,7,"on","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2150,"completed","temperate",7,1e-07,1e-04,7,"on","off",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
2151,"completed","temperate",7,1e-07,1e-04,7,"off","on",10000,11,30000,3000,0,0,0,0,"off",NA,0.1
