time,region,spp.rich,reg.env
1,0,0,0
1,1,0,3.63636363636364
1,2,0,7.27272727272727
1,3,0,10.9090909090909
1,4,0,14.5454545454545
1,5,0,18.1818181818182
1,6,0,21.8181818181818
1,7,0,25.4545454545455
1,8,0,29.0909090909091
1,9,0,32.7272727272727
1,10,1,36.3636363636364
1,11,0,40
2,0,0,0
2,1,0,3.63636363636364
2,2,0,7.27272727272727
2,3,0,10.9090909090909
2,4,0,14.5454545454545
2,5,0,18.1818181818182
2,6,0,21.8181818181818
2,7,0,25.4545454545455
2,8,0,29.0909090909091
2,9,0,32.7272727272727
2,10,2,36.3636363636364
2,11,1,40
3,0,0,0
3,1,0,3.63636363636364
3,2,0,7.27272727272727
3,3,0,10.9090909090909
3,4,0,14.5454545454545
3,5,0,18.1818181818182
3,6,0,21.8181818181818
3,7,0,25.4545454545455
3,8,0,29.0909090909091
3,9,0,32.7272727272727
3,10,2,36.3636363636364
3,11,3,40
4,0,0,0
4,1,0,3.63636363636364
4,2,0,7.27272727272727
4,3,0,10.9090909090909
4,4,0,14.5454545454545
4,5,0,18.1818181818182
4,6,0,21.8181818181818
4,7,0,25.4545454545455
4,8,0,29.0909090909091
4,9,1,32.7272727272727
4,10,3,36.3636363636364
4,11,3,40
5,0,0,0
5,1,0,3.63636363636364
5,2,0,7.27272727272727
5,3,0,10.9090909090909
5,4,0,14.5454545454545
5,5,0,18.1818181818182
5,6,0,21.8181818181818
5,7,0,25.4545454545455
5,8,0,29.0909090909091
5,9,2,32.7272727272727
5,10,3,36.3636363636364
5,11,3,40
6,0,0,0
6,1,0,3.63636363636364
6,2,0,7.27272727272727
6,3,0,10.9090909090909
6,4,0,14.5454545454545
6,5,0,18.1818181818182
6,6,0,21.8181818181818
6,7,0,25.4545454545455
6,8,1,29.0909090909091
6,9,2,32.7272727272727
6,10,3,36.3636363636364
6,11,3,40
7,0,0,0
7,1,0,3.63636363636364
7,2,0,7.27272727272727
7,3,0,10.9090909090909
7,4,0,14.5454545454545
7,5,0,18.1818181818182
7,6,0,21.8181818181818
7,7,1,25.4545454545455
7,8,2,29.0909090909091
7,9,2,32.7272727272727
7,10,3,36.3636363636364
7,11,3,40
8,0,0,0
8,1,0,3.63636363636364
8,2,0,7.27272727272727
8,3,0,10.9090909090909
8,4,0,14.5454545454545
8,5,0,18.1818181818182
8,6,0,21.8181818181818
8,7,2,25.4545454545455
8,8,2,29.0909090909091
8,9,2,32.7272727272727
8,10,3,36.3636363636364
8,11,4,40
9,0,0,0
9,1,0,3.63636363636364
9,2,0,7.27272727272727
9,3,0,10.9090909090909
9,4,0,14.5454545454545
9,5,0,18.1818181818182
9,6,1,21.8181818181818
9,7,2,25.4545454545455
9,8,2,29.0909090909091
9,9,3,32.7272727272727
9,10,3,36.3636363636364
9,11,4,40
10,0,0,0
10,1,0,3.63636363636364
10,2,0,7.27272727272727
10,3,0,10.9090909090909
10,4,0,14.5454545454545
10,5,1,18.1818181818182
10,6,2,21.8181818181818
10,7,2,25.4545454545455
10,8,3,29.0909090909091
10,9,3,32.7272727272727
10,10,3,36.3636363636364
10,11,4,40
11,0,0,0
11,1,0,3.63636363636364
11,2,0,7.27272727272727
11,3,0,10.9090909090909
11,4,0,14.5454545454545
11,5,1,18.1818181818182
11,6,2,21.8181818181818
11,7,2,25.4545454545455
11,8,3,29.0909090909091
11,9,3,32.7272727272727
11,10,4,36.3636363636364
11,11,4,40
12,0,0,0
12,1,0,3.63636363636364
12,2,0,7.27272727272727
12,3,0,10.9090909090909
12,4,0,14.5454545454545
12,5,2,18.1818181818182
12,6,2,21.8181818181818
12,7,2,25.4545454545455
12,8,3,29.0909090909091
12,9,3,32.7272727272727
12,10,4,36.3636363636364
12,11,4,40
13,0,0,0
13,1,0,3.63636363636364
13,2,0,7.27272727272727
13,3,0,10.9090909090909
13,4,0,14.5454545454545
13,5,2,18.1818181818182
13,6,2,21.8181818181818
13,7,2,25.4545454545455
13,8,3,29.0909090909091
13,9,3,32.7272727272727
13,10,4,36.3636363636364
13,11,4,40
14,0,0,0
14,1,0,3.63636363636364
14,2,0,7.27272727272727
14,3,0,10.9090909090909
14,4,0,14.5454545454545
14,5,2,18.1818181818182
14,6,2,21.8181818181818
14,7,3,25.4545454545455
14,8,3,29.0909090909091
14,9,3,32.7272727272727
14,10,4,36.3636363636364
14,11,4,40
15,0,0,0
15,1,0,3.63636363636364
15,2,0,7.27272727272727
15,3,0,10.9090909090909
