sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,n.regions,clade.origin.time
1133,56,100,0.9729654317049,2.26201987540975e-06,0.958087174782524,1.28337454543548e-05,-0.959608697040802,1.10897613524886e-05,0.988715267436265,6.99922360070104e-08,-0.92968002220984,9.82122688092868e-05,0.952064852550242,2.1796709359645e-05,10,1
1133,57,100,0.976884427801299,1.2147826604636e-06,0.955453118738415,1.63245071802542e-05,-0.889291515783129,0.000573860052950376,0.97493781043117,1.67468263212456e-06,-0.902095780980802,0.000356635898617575,0.963924958490978,7.09380864027942e-06,10,2
1133,58,100,0.897680103975102,0.00042312751078466,0.963337787448191,7.5616515300414e-06,0.648217615832129,0.0426539727420876,0.90831835441278,0.000276381009025606,0.652982596698794,0.0406545187793399,0.892841424656378,0.000505960623361279,10,7
1133,59,100,0.662424312770337,0.151701402452314,0.970569041538171,0.00128652570080723,0.897378307641974,0.0152564522278436,-0.970420386199983,0.00129948993474843,0.849733621229293,0.0321734706248593,-0.936570178115303,0.0059074135136143,6,20
1133,60,100,0.845444012324114,0.0339853477909364,0.970569041538171,0.00128652570080723,0.77904808290127,0.0678362158635164,-0.976421142678571,0.00433087831070619,0.728292649884325,0.100707944343684,-0.939639616394929,0.0176396582672401,6,38
1133,61,100,0.874397420024937,0.0226732584852809,0.916515138991168,0.0101636498895386,0.948683298050514,0.00388253704696062,NA,NA,0.828078671210825,0.0417946804560454,-0.866025403784438,0.0576688856224379,6,43
1133,62,100,0.612372435695794,0.272228401224416,0.866025403784438,0.0576688856224377,NA,NA,NA,NA,NA,NA,NA,NA,5,60
1133,63,100,0.88724169249742,0.11275830750258,0.943879807448537,0.0561201925514634,-0.918531523405503,0.0814684765944973,0.935196204368318,0.0648037956316823,-0.829288428862727,0.170711571137273,0.848947842305002,0.151052157694998,4,66
1133,64,100,0.668945875594495,0.331054124405505,0.894427190999915,0.105572809000086,NA,NA,NA,NA,-0.894427190999915,0.105572809000085,0.894427190999914,0.105572809000086,4,68
1133,65,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81
1133,66,100,0.760566945417745,0.0106453455610418,0.921179368294486,0.000153410905344931,0.778259817093832,0.008014250398376,0.928288805710189,0.000106036237146334,0.778470356747918,0.00798604973517358,0.868912399569637,0.00109955852159405,10,27
1133,67,100,0.997099040717517,8.69225899258197e-07,0.790569415042095,0.0343165992063961,NA,NA,NA,NA,-0.790569415042095,0.0343165992063962,NA,NA,7,32
1133,68,100,0.994264598335507,4.77010283672641e-06,0.790569415042095,0.0343165992063961,NA,NA,NA,NA,NA,NA,NA,NA,7,41
1133,69,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,57
1133,70,100,0.914396194949319,0.0039307344457149,0.790569415042095,0.0343165992063961,NA,NA,NA,NA,NA,NA,NA,NA,7,52
1133,71,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,44
1133,72,100,0.754917088296496,0.0115997247871382,0.840460638985806,0.00232694892900898,0.980958920690663,5.62064554898711e-07,-0.39180265064006,0.262824441650674,0.828586254337871,0.00305431072987972,-0.229325695748486,0.523909914256758,10,33
1133,73,100,0.828208390196757,0.00307984174220843,0.840460638985806,0.00232694892900898,NA,NA,0.610064724404895,0.108256048215263,NA,NA,0.522597718519931,0.1839191894573,10,43
