sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,n.regions,clade.origin.time
316,3014,153,0.999525420055596,0.0196140369214066,0.866025403784439,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,3,0
316,3014,306,0.999870946537776,0.0102278563942479,0.866025403784439,0.333333333333333,NA,NA,0.997233125009695,0.0473685485112534,-0.866025403784439,0.333333333333333,0.90079807224947,0.285964784822081,3,0
316,3014,458,0.996591802132646,0.0525752013882985,0.83087511755499,0.375680678327382,-0.978809961749265,0.131289768023658,0.994919337163649,0.0642006396671735,-0.927215352418343,0.244390910303724,0.882675381129533,0.311480038660209,3,0
316,3014,611,0.998497078202407,0.00150292179759259,0.959671341680451,0.0403286583195486,-0.871661310839708,0.128338689160292,0.952428401707229,0.0475715982927709,-0.797365384115859,0.202634615884141,0.878303453579357,0.121696546420643,4,0
316,3014,764,0.998456620522905,0.00154337947709493,0.961112575308892,0.038887424691108,-0.888446583859587,0.111553416140413,0.95828873879699,0.0417112612030102,-0.803995330458407,0.196004669541593,0.885493870375423,0.114506129624577,4,0
316,3015,306,0.939530671273505,0.222523471403906,0.654653670707977,0.54562894834299,-0.984324138288089,0.112870330958245,0.959111732615993,0.182677681096985,-0.777713771047819,0.432758617384745,0.841834854530571,0.362951267246005,3,0
316,3015,458,0.993092985145758,0.0748670302213998,0.810884854079383,0.397972507160484,-0.943509114269344,0.21500585961162,0.991832123387633,0.0814227476944565,-0.958983165433156,0.182966647548864,0.878904722038193,0.316549759466027,3,0
316,3015,611,0.998984599967291,0.0010154000327085,0.957793541271408,0.0422064587285917,-0.656538652796165,0.343461347203835,0.938366214655004,0.061633785344996,-0.551032995836639,0.448967004163361,0.848336378004581,0.151663621995419,4,0
316,3015,764,0.998868900864305,0.00113109913569476,0.959496660850771,0.0405033391492293,-0.756894650367551,0.243105349632449,0.950202873530531,0.049797126469469,-0.648657582637387,0.351342417362613,0.865707823241817,0.134292176758183,4,0
316,3016,306,0.999870946537776,0.0102278563942435,0.866025403784439,0.333333333333333,NA,NA,NA,NA,-0.866025403784439,0.333333333333333,0.866025403784439,0.333333333333333,3,0
316,3016,458,0.911160849453106,0.270374794687256,0.59603956067927,0.593480271626339,0.974643697066425,0.143668003925112,-0.977484647954801,0.135348277809404,0.401254954282766,0.737148275551451,-0.752048296806369,0.458131993816934,3,0
316,3016,611,0.979478679694151,0.0205213203058485,0.910757265651116,0.089242734348884,-0.796621646919177,0.203378353080823,0.956317621634396,0.0436823783656044,-0.531931091980777,0.468068908019223,0.785052636358917,0.214947363641083,4,0
316,3016,764,0.992142559833035,0.0078574401669651,0.926042701499952,0.0739572985000481,-0.884537395146769,0.115462604853231,0.954276664629149,0.0457233353708508,-0.706944957393966,0.293055042606034,0.81243169559063,0.187568304409369,4,0
316,3017,611,0.907983227051204,0.275243116580768,0.996615895540124,0.0523889328216467,0.976283652607078,0.138925222879464,-0.281298509091892,0.818469788023357,0.955183999909622,0.191314155701111,-0.359226869536917,0.766080855201711,3,0
316,3017,764,0.979194492836854,0.0208055071631461,0.941846605714885,0.0581533942851147,0.93554155667017,0.0644584433298301,0.850347942538664,0.149652057461336,0.928325831256489,0.0716741687435105,0.720663852698178,0.279336147301822,4,0
316,3018,611,0.907729774882761,0.275627948450399,0.996615895540124,0.0523889328216467,0.952011920113339,0.198022271877871,-0.847747120885229,0.355916968759464,0.923632157366575,0.250411204699517,-0.888476918573063,0.303528035937817,3,0
316,3018,764,0.999028316475002,0.0280667879263037,0.891042111213631,0.299950093345743,0.999727218784953,0.0148700429642972,-0.997907923439604,0.0411869517971461,0.880197423971918,0.314820136310037,-0.859831472854774,0.34113704514289,3,0
316,3019,611,0.869602311570089,0.328750462413007,1,0,0.866025403784439,0.333333333333333,NA,NA,0.866025403784439,0.333333333333333,NA,NA,3,0
316,3019,764,0.99648557342726,0.0533887350515467,0.907841299003204,0.275458676634943,0.999713854010125,0.0152299791680983,-0.997815404988925,0.0420881352486046,0.897551151516511,0.290688655803039,-0.878156587229442,0.317546811883548,3,0
316,3020,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
