spp.name,region,extant,env.opt,time.of.origin,time.of.extinction,time.of.sp.origin,reg.env,carry.cap,time.of.sp.extinction
1,6,0,36.3636363636364,397,399,0,21.8181818181818,5909.09090909091,501
1,6,0,36.3636363636364,389,390,0,21.8181818181818,5909.09090909091,501
1,4,0,36.3636363636364,84,90,0,14.5454545454545,4272.72727272727,501
1,6,0,36.3636363636364,342,344,0,21.8181818181818,5909.09090909091,501
1,8,0,36.3636363636364,397,400,0,29.0909090909091,7545.45454545455,501
1,5,0,36.3636363636364,489,491,0,18.1818181818182,5090.90909090909,501
1,8,0,36.3636363636364,350,356,0,29.0909090909091,7545.45454545455,501
1,6,0,36.3636363636364,164,170,0,21.8181818181818,5909.09090909091,501
1,4,0,36.3636363636364,136,136,0,14.5454545454545,4272.72727272727,501
1,8,0,36.3636363636364,363,367,0,29.0909090909091,7545.45454545455,501
1,7,0,36.3636363636364,315,334,0,25.4545454545455,6727.27272727273,501
1,3,0,36.3636363636364,59,62,0,10.9090909090909,3454.54545454545,501
1,3,0,36.3636363636364,83,83,0,10.9090909090909,3454.54545454545,501
1,8,0,36.3636363636364,172,324,0,29.0909090909091,7545.45454545455,501
1,6,0,36.3636363636364,430,433,0,21.8181818181818,5909.09090909091,501
1,7,0,36.3636363636364,464,473,0,25.4545454545455,6727.27272727273,501
1,8,0,36.3636363636364,386,396,0,29.0909090909091,7545.45454545455,501
1,5,0,36.3636363636364,148,160,0,18.1818181818182,5090.90909090909,501
1,6,0,36.3636363636364,9,160,0,21.8181818181818,5909.09090909091,501
1,6,0,36.3636363636364,234,238,0,21.8181818181818,5909.09090909091,501
1,5,0,36.3636363636364,143,144,0,18.1818181818182,5090.90909090909,501
1,8,0,36.3636363636364,350,356,0,29.0909090909091,7545.45454545455,501
1,3,0,36.3636363636364,17,19,0,10.9090909090909,3454.54545454545,501
1,6,0,36.3636363636364,290,293,0,21.8181818181818,5909.09090909091,501
1,7,0,36.3636363636364,178,223,0,25.4545454545455,6727.27272727273,501
1,5,0,36.3636363636364,11,88,0,18.1818181818182,5090.90909090909,501
1,5,0,36.3636363636364,185,188,0,18.1818181818182,5090.90909090909,501
1,5,0,36.3636363636364,291,292,0,18.1818181818182,5090.90909090909,501
1,7,0,36.3636363636364,424,427,0,25.4545454545455,6727.27272727273,501
1,7,0,36.3636363636364,449,450,0,25.4545454545455,6727.27272727273,501
1,4,0,36.3636363636364,79,83,0,14.5454545454545,4272.72727272727,501
1,7,0,36.3636363636364,441,444,0,25.4545454545455,6727.27272727273,501
1,7,0,36.3636363636364,387,400,0,25.4545454545455,6727.27272727273,501
1,9,0,36.3636363636364,428,467,0,32.7272727272727,8363.63636363636,501
1,10,0,36.3636363636364,0,475,0,36.3636363636364,9181.81818181818,501
