sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4293,2268,1e+05,0.611742249763372,0.0601750548382833,0.999088690797425,3.01403346725237e-12,0.996071115207532,1.0375433845411e-09,-0.925371406269537,0.000123926827273016,0.996480590691012,6.68377575507861e-10,-0.922001754264175,0.000147257410215458,-0.620276926209964,0.0557139082555386,-0.617248763610241,0.0572708235536041,10,63,2267,2267,62,42.2968290290945,29.4525138318869,214.556927933876,0.121991478031157,1.32576664804129,0.0578452062403267,0.923239428519702,0.000420080713911126,-0.00015858069732331,-0.00171642603487654,10,14.4816652146865,2267,-0.50012625480908
4293,2269,1e+05,0.642193449545602,0.0452748610865186,0.997725049502805,1.16863851928883e-10,0.991178147693792,2.6218763160557e-08,-0.760858769418506,0.0105976044122372,0.995654413857385,1.55204737950498e-09,-0.782017432399738,0.00752142950101318,-0.621012477156644,0.0553400018822821,-0.650125502657267,0.0418456517319447,10,154,2232,2232,61,41.5435822758477,28.5697739910826,209.695866755709,0.11428221304502,1.30957547362431,0.0480726924133364,0.920992783983877,0.000326189850922233,-0.000109413588133843,-0.00128285812954728,10,14.4615364684445,2232,-0.497946602227143
4293,2270,1e+05,0.676692111898039,0.0316390129084094,0.995818388555112,1.33098088106465e-09,0.985090621276395,2.12336602523067e-07,-0.248027142644642,0.489603589993807,0.994461040664098,4.09073352969358e-09,-0.319265401477496,0.36854637604166,-0.621523383819759,0.0550812697796478,-0.668042082910887,0.0347518550680319,10,164,2211,2211,60,40.5715543038198,27.7047040610126,204.150043652478,0.108888399350943,1.29059353889238,0.052876668621706,0.916334389250378,0.000420425458261687,-3.93436279091208e-05,-0.000594597849784876,10,14.4532870371867,2211,-0.492696427305908
4293,2271,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,350,28,28,9,0,5.82142857142857,NA,NA,NA,0,0.79218731167552,NA,NA,NA,1,1.76307589901505,28,-0.664003811154164
4293,2278,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9764,21,21,8,0,5.23809523809524,NA,NA,NA,0,0.730904200414152,NA,NA,NA,1,2.25487749275421,21,-0.718591268369761
4293,2279,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29974,11,11,7,0,4.81818181818182,NA,NA,NA,0,0.607837089081198,NA,NA,NA,1,1.75647211247788,11,-1.74886145406634
4293,2280,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40318,10,10,6,0,4.2,NA,NA,NA,0,0.610934992497273,NA,NA,NA,1,2.07262800532692,10,-1.59424851204679
4293,2281,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,54623,9,9,5,0,3.55555555555556,NA,NA,NA,0,0.67560168759014,NA,NA,NA,1,2.30685173067965,9,0.96174015930989
4293,2289,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44609,10,10,5,0,3.6,NA,NA,NA,0,0.635205879816015,NA,NA,NA,1,0.747877101201416,10,9.99992208063144
4293,2298,1e+05,0.718114226713853,0.019332418446635,0.990282877557607,3.85527716417755e-08,0.962573425886386,8.20461961614782e-06,-0.629376163979297,0.0512047712626456,0.988723390357488,6.97916109348995e-08,-0.692789211012745,0.0263614578600398,-0.622792441682319,0.0544420645723679,-0.687452051914317,0.0280387352084644,10,1176,2183,2183,59,37.1799459122114,27.0438649001735,190.565043569328,0.0986819724278427,1.23971941301825,0.0485698418066663,0.929281235036545,0.000325433322750951,-8.43186482889138e-05,-0.00113516528210498,10,14.4101342379452,2183,-0.48561900729364
