sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
3486,9737,186,0.823117763818574,0.0441639021675992,0.960451966542084,0.00231514293502078,0.980041000496555,0.000593567041669019,0.844039831327049,0.0345886069502879,0.98144419119417,0.000513282510794522,0.841352225688051,0.0357571623004711,-0.860484733212757,0.027838966370556,-0.72973515593266,0.0996941397923995,6,13,9736,9736,28,1.97559945072357,16.0219089428448,0.732403647183992,0.000194370958010292,0.123463768751773,0.12063674736938,0.874638098118154,0.00257187036577607,9.91971877996198e-06,0.00627192789368797,6,-6.79885575450726,9736,0.310033707573343
3486,9738,186,0.870851407748618,0.0546224305745837,0.973299182173249,0.00521643286575157,0.999285756278139,2.29116818784014e-05,0.815874994562119,0.0921783922677335,0.970130209653848,0.0061691689003549,0.868859695301916,0.0558734164221675,-0.922148487336919,0.0257689546782612,-0.873345313679537,0.0530686466980405,5,25,7252,7252,27,0.920238724453842,15.786441772788,0.182207638931387,0.000131233787398348,0.0720237962233294,0.186134393004135,0.888300404394029,0.00635454034480509,2.00095982440541e-05,0.0120463204481312,5,-6.22266665451568,7252,0.255548121924967
3486,9739,186,0.949359491328802,0.0135754501332839,0.95805013279399,0.0102489160022037,-0.794367504059197,0.108417703700178,0.856930560658296,0.0635488022873747,-0.765903682603162,0.131085617288212,0.845666739178285,0.0710730185998623,-0.900084224773228,0.037339338698076,-0.920268126669316,0.0267004398132755,5,27,2973,2973,24,0.178401122019634,14.2585885794815,0.00542116890818041,-4.43435741660005e-05,-0.00980806457733543,0.125884751763655,0.840058142684396,0.00286336728453554,3.47653748542466e-05,0.00787046638802774,5,-3.04516110270421,2973,0.462868930160986
3486,9740,186,0.91662225099434,0.0285365622507228,0.961164421466938,0.00913339679901548,0.670183123033203,0.215771924888496,0.81748180447806,0.09099774532492,0.6766873885458,0.209649902377653,0.823477693770556,0.0866335188229144,-0.899923211551598,0.0374286982117814,-0.909737218663567,0.0321090721593278,5,40,1852,1852,23,0.857133995037222,13.8473787437916,0.121319022994461,0.000282165547819584,0.0409935211895828,0.3425604855018,0.781029692751568,0.0212507983140579,0.000144049503681503,0.0208786374904511,5,-3.32646999998225,1852,0.383491461474546
3486,9741,186,0.940402096414114,0.0173084957777057,0.947640373440892,0.0142688193617513,0.947847209998546,0.0141848013874086,0.844997043207786,0.0715285573607449,0.896821967214047,0.0391630515646921,0.823603315630881,0.0865427878516494,-0.881363598973424,0.0481700836887941,-0.920233464858129,0.0267177102581926,5,45,1082,1082,22,1.18708133971292,13.3233993703708,0.261810856019737,0.00101139068278448,0.07981099999888,0.322320760734477,0.694544080700375,0.0186158338307721,0.000240426992120193,0.0195443856094467,5,-3.20469087850984,1082,0.321467528776523
3486,9742,186,0.817531387537407,0.182468612462593,0.970445929803214,0.0295540701967865,0.958409688154514,0.0415903118454863,0.796782850588458,0.203217149411542,0.925261642373988,0.0747383576260121,0.753334763929827,0.246665236070172,-0.926326093948227,0.0736739060517726,-0.970247158826577,0.0297528411734233,4,92,145,145,13,1.91763791763792,8.46537980713929,0.765033954212903,0.0133504689164766,0.172390461705316,0.495798938107972,0.693313406106967,0.05861554607335,0.00307221323071456,0.0388510477788852,4,-1.38384357268876,145,0.0867805013462171
3486,9743,186,0.986440050415621,0.0135599495843788,0.853986492453437,0.146013507546563,-0.978816662658775,0.0211833373412252,0.980599245665263,0.0194007543347365,-0.73301566619263,0.26698433380737,0.751956398374056,0.248043601625944,-0.774596669241483,0.225403330758516,-0.986440050415621,0.0135599495843789,4,133,23,23,7,1.03174603174603,5.47723475355054,0.248350094115824,-0.0849134621064446,-0.0778132832080199,0.156184486373166,0.700509134471399,0.00583962699170619,0.0130444910319124,0.0122403414195867,4,-0.166590976255251,23,0.268205279172421
3486,9744,186,0.973851681096353,0.0261483189036467,0.898026510133872,0.101973489866128,0.871055135070735,0.128944864929265,-0.751243634633616,0.458908661195307,0.925819070358579,0.0741809296414211,-0.751243634633621,0.458908661195301,-0.774596669241483,0.225403330758516,-0.973851681096354,0.0261483189036465,4,170,10,10,6,0.888888888888889,3.42311507936508,0.132772148211136,0.0883128520225294,0.0718601190476193,0.0575396825396826,0.860780423280423,0.000922514067355338,-0.0228174603174605,-0.00627480158730168,3,-0.651460037974249,10,0.258604753066999
3486,9753,186,0.977139836403677,0.0228601635963226,0.756889262661453,0.243110737338547,-0.955641956346642,0.0443580436533585,0.956431539150728,0.0435684608492719,-0.820202009128886,0.179797990871114,0.781058577609538,0.218941422390462,-0.774596669241483,0.225403330758517,-0.977139836403677,0.0228601635963226,4,146,13,13,6,0.916666666666667,4.86057692307692,0.183880533640149,-0.184810951760104,-0.0749198717948718,0.133008658008658,0.715764443889444,0.004134773706413,0.0277360351512894,0.0106983745421245,4,-1.2736473101219,13,-0.533883943610155
3486,9754,186,0.927172649945531,0.0728273500544692,0.718184846459603,0.281815153540397,-0.866066318692632,0.133933681307368,0.814040558843338,0.185959441156662,-0.897733031613668,0.102266968386332,0.834402685884033,0.165597314115967,-0.774596669241483,0.225403330758517,-0.927172649945531,0.0728273500544693,4,156,11,11,5,0.4,4.24545454545455,0.0306887052341598,-0.120574162679426,-0.0335000000000002,0.0301058201058202,0.845554353054353,0.000178470186723354,0.00864256601098703,0.00237447089947089,4,-1.11660128203679,11,-0.227145270854988
