sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4220,2175,1e+05,-0.170770257037825,0.637144704230225,0.999057705205708,3.44524409001679e-12,-0.992554299653336,1.33264543529506e-08,0.929436270147723,9.95512160386625e-05,-0.993247770095914,9.02077044763821e-09,0.927302695095831,0.000111854093996611,0.868006653821868,0.00112897480065044,0.859921871347631,0.00141750391615103,10,1,2174,2174,55,34.7052145000406,30.4118626521808,154.820836747088,-0.109496107620735,-1.1225334160911,0.114139816709769,0.950147228377958,0.00122461788872209,0.000288369694133537,0.00294746594429782,10,13.1343796399276,2174,-0.380798455765795
4220,2176,1e+05,-0.0624898102723536,0.863836086963027,0.582193585298745,0.0774164415463103,-0.570659488805669,0.0849285267837148,0.766346758825649,0.00972758918255501,-0.993395503440651,8.25830277069672e-09,0.888934987946163,0.000581028999806277,0.873718012909501,0.000952719901790688,0.438328815599318,0.205114740881567,10,45,1833,1833,54,34.0567869042445,29.5829256893623,148.950088445729,-0.074477573724982,-1.10120847940468,0.109253384254259,0.948829509488742,0.00111493203557055,0.000273638761703039,0.00269600796875701,10,12.4532089192771,1833,-0.41845385922828
4220,2177,1e+05,0.888531934725789,0.111468065274211,0.971297311631972,0.0287026883680281,-0.064924317668005,0.935075682331995,0.98473521470334,0.111376732966483,-0.0121758420992891,0.987824157900711,0.88697798094455,0.305600846330492,-0.793252410834801,0.206747589165199,-0.716311466734977,0.283688533265023,4,139,51,51,11,1,7.45263975155279,0.24396162056505,-0.00246189703352083,-0.00128105590062168,0.267267040869348,0.763579109093853,0.0226989172596077,0.0128645979866874,0.0367492181195351,3,1.142460056845,51,-0.281835021974277
4220,2178,1e+05,0.898674465845217,0.101325534154783,0.966824097134851,0.0331759028651493,0.117391201090166,0.882608798909834,0.985050706859142,0.110216844168362,0.181541111524524,0.818458888475476,0.869608901668785,0.32874196537459,-0.791962375772786,0.208037624227214,-0.721501768195986,0.278498231804013,4,239,50,50,10,1,6.50885668276973,0.199454933474397,0.00413292404376093,0.0172705314009656,0.256527168308325,0.760675257562296,0.0217549850722905,0.0130299933257173,0.0352724856423944,3,1.193236726831,50,0.718265770966362
4220,2179,1e+05,0.971595466793801,0.0284045332061984,0.764545869611709,0.23545413038829,0.701417840613671,0.298582159386329,0.845623152546439,0.358458187697694,0.477953830923858,0.522046169076142,0.863556764605124,0.336463189014108,-0.772110376683529,0.227889623316471,-0.771493236887619,0.228506763112381,4,615,34,34,9,1.05263157894737,5.65899122807018,0.237077754693752,0.0439686924493553,0.049572368421052,0.187380212870558,0.71716638346565,0.0116379024250991,0.0140208062464767,0.0256189272358335,3,0.790978032301609,34,1.3092742748456
4220,2184,1e+05,0.953860373179729,0.046139626820271,0.597046741707845,0.402953258292155,0.557705468365585,0.442294531634415,0.997441297659914,0.0455509721316285,0.960987652240944,0.0390123477590558,0.225764933259041,0.855023743816964,-0.765115457312199,0.234884542687801,-0.745019575571711,0.254980424428289,4,818,29,29,8,1.75,4.97916666666667,0.529513888888889,0.0568739770867431,0.148958333333334,0.161826050821208,0.660486151132699,0.007155215935824,0.0131234645601435,0.00525170777915704,3,0.840339299935227,29,4.88542369613928
4220,2185,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10811,14,14,7,0.416666666666667,4.54166666666667,0.0868055555555557,0.208333333333334,0.114583333333332,0.256050046743966,0.574793870053375,0.0327808132187937,0.128025023371983,0.0704137628545895,2,0.256712018889421,14,-0.472832642514336
4220,2186,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,48479,10,10,6,1.91666666666667,4.29166666666667,1.83680555555556,-0.958333333333334,0.527083333333324,0.42845053473341,0.559184927828782,0.0917849303566723,0.214225267366705,-0.117823897051685,2,-0.364554629607267,10,-0.959544416568951
4220,2187,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58659,8,8,5,1.25,3.625,0.78125,NA,0.343749999999994,0.179962587584561,0.519885424477718,0.0161932664650654,NA,-0.0494897115857533,2,0.195582555772503,8,-1.24358223001489
4220,2198,1e+05,0.979849798968435,0.128016745345305,0.998625428903524,0.0333832399875882,0.874270386445878,0.322680629238148,NA,NA,0.898512571288978,0.289297389250558,NA,NA,-0.905562786072383,0.278897912705477,-0.882083261720209,0.312281152693067,3,15905,15,15,5,1.08333333333333,3.69444444444444,0.363425925925926,0.0956959706959706,0.148958333333335,0.0286851270298562,0.686002680950657,0.000411418256359492,-0.00478085450497601,-0.00788840993321049,2,1.43824309796604,15,9.99994717906372
