sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4317,2210,1e+05,0.666746182069614,0.0352353869186592,0.997554838992145,1.55931267897813e-10,0.990485996424093,3.54376061828532e-08,-0.360494191579299,0.306156286501308,0.991723786116564,2.03228749384721e-08,-0.360415266781015,0.306270004105541,-0.74062988919163,0.0142784461278172,-0.749880501394484,0.0124997781768076,10,4,2209,2209,53,36.7969520011394,26.9480283656852,180.163989936242,0.116181542571846,1.20907070781131,0.0308519547729905,0.941701942739345,0.000106823926027345,-3.25602208675625e-05,-0.000338348628823582,10,14.2609736729588,2209,-0.39754875448823
4317,2211,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,101,38,38,10,1.81081081081081,5.90540540540541,1.63951789627465,0.0565878378378378,-0.497972972972973,0.0901231835745695,0.841191523859519,0.00406109410880778,-0.00281634948670531,0.0247838754830067,2,4.21305387364895,38,-0.331611647497421
4317,2215,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,149,34,34,9,1.33823529411765,5.41911764705882,0.895436851211072,0.0446078431372549,-0.368014705882353,0.0473016559379358,0.787160614413515,0.00111872332723543,-0.00157672186459786,0.0130079553829324,2,3.93223910248257,34,-0.0545953467993538
4317,2216,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12714,18,18,8,3.61111111111111,3.80555555555556,6.52006172839506,0.212418300653595,-0.993055555555557,0,0.492855654890939,NA,NA,NA,1,2.94574436775816,18,-0.799178135583185
4317,2217,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60527,16,16,7,0,5.0625,NA,NA,NA,0,0.799186152559978,NA,NA,NA,1,1.81498590906237,16,-0.601300470974609
4317,2218,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60894,13,13,6,0,4.61538461538461,NA,NA,NA,0,0.730819062456151,NA,NA,NA,1,1.96097751552441,13,-0.715836678658075
4317,2219,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63342,12,12,5,0,3.91666666666667,NA,NA,NA,0,0.727412429714792,NA,NA,NA,1,2.36172759752187,12,9.99993718921887
4317,2233,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6944,16,16,6,0.166666666666667,4.41666666666667,0.0138888888888889,0.0128205128205129,-0.0458333333333336,0.0016422011118753,0.666193027137781,1.34841224592223e-06,-0.000126323162451945,0.000451605305765706,2,3.28089430794349,16,2.20149642284612
4317,2238,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,42330,11,11,5,0.0909090909090908,3.95454545454545,0.00413223140495867,-0.00909090909090917,0.0250000000000003,0,0.649684568942415,NA,NA,NA,1,2.30600112253151,11,0.639386704239669
4317,2248,1e+05,0.683103332843458,0.029458172630398,0.99419606884985,4.92991114597885e-09,0.979809660854447,7.09563277467851e-07,0.241952111612612,0.500640546786379,0.990379964184129,3.70392716497747e-08,0.165161583859649,0.648404200131021,-0.73814879487008,0.0147839958858006,-0.781596771552402,0.00757550297898554,10,128,2171,2171,52,35.8712167070218,26.0614628710663,175.809307857641,0.106830044182903,1.19275089786979,0.0700785817627984,0.938571151239651,0.000382842089296935,3.89287101522533e-05,0.000293525510536117,10,13.8981468507387,2171,-0.391092889854469
4317,2249,1e+05,0.836094550616774,0.163905449383226,-0.939108193048453,0.0608918069515471,-0.250191191323527,0.749808808676473,0.625236597987545,0.374763402012455,0.460514931296933,0.539485068703067,-0.840970503845557,0.159029496154443,0.795891474579883,0.204108525420117,-0.559283131689068,0.440716868310932,4,192,52,52,11,0.733333333333334,7.94166666666667,0.0950925925925929,-0.00510204081632652,0.03025,0.784857847702509,0.567364152665181,0.133328346366379,0.0150974711095449,-0.0654109307727982,4,3.05237145096,52,-0.813358909362098
4317,2250,1e+05,0.857678468268225,0.142321531731775,-0.948660049142936,0.0513399508570641,0.400458817115286,0.599541182884714,0.6114942734106,0.3885057265894,-0.116997406046476,0.883002593953524,-0.822359610918962,0.177640389081038,0.7943672256659,0.2056327743341,-0.573018388821848,0.426981611178152,4,217,49,49,10,0.733333333333333,7.05909090909091,0.116323844505663,0.00993704134418737,-0.00850000000000022,0.753248830264705,0.559554887514998,0.128536203501349,0.0159503417030722,-0.0628033522326784,4,2.93083790917305,49,-0.724240220432542
4317,2251,1e+05,0.760555841238624,0.449853064937256,-0.981980506061966,0.121037718323677,0.999639639627939,0.0170913621615536,-0.978367377655686,0.132658700723952,-0.976553633314098,0.138129080485232,0.999833396781963,0.0116209824002793,0.975156669041653,0.142201201795155,-0.999447485005521,0.0211634834714793,3,268,22,22,8,1.61764705882353,5.20588235294118,0.68598615916955,0.108403361344538,-0.222426470588236,0.0385004606462968,0.610124134782056,0.000370694875123231,-0.00246633381423798,0.00529381333886578,3,1.12355984395829,22,-0.74761203563472
