sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,gamma.stat,clade.richness,BK.env,BK.reg
3325,2179,30000,0.860800469938102,0.00138380993601572,0.998407954755695,2.80522272078088e-11,-0.991049528007386,2.7777270711285e-08,0.887567436503371,0.000609135899412028,-0.993115630777174,9.74635727921573e-09,0.888838479595483,0.000582980769250341,-0.974950555906919,1.67130436258534e-06,-0.974262371813983,1.86112375232988e-06,10,14,2178,2178,-10.1101234406373,2178,15.3638378574986,11.3621811941084
3325,2180,30000,0.754387544853395,0.0116921454475598,0.683573289674574,0.0293024660615657,-0.705104097157747,0.0227561790715554,0.775643979779681,0.0083705299900303,-0.993487882389147,7.80672946434591e-09,0.877700415661081,0.000842312964481895,-0.962712131415729,8.08503075603591e-06,-0.829857075160964,0.00296956182381933,10,36,1832,1832,-9.01368229963478,1832,14.8444919068808,10.9233739108364
3325,2181,30000,0.582747227893639,0.0770671032568782,0.402568822562322,0.248753647329566,-0.436000334373842,0.207810521495725,0.63223507940111,0.0498397996183595,-0.993054538366516,1.00962072536824e-08,0.851450593193821,0.00177364569579397,-0.956179674757568,1.52988264656778e-05,-0.615399930465634,0.0582353739304232,10,273,1692,1692,-8.57928803039651,1692,13.068807541085,9.80416552924283
3325,2182,30000,0.485756353419013,0.154633618002538,0.274369973452282,0.4429927501274,-0.354288973879019,0.31516489645961,0.551060402974799,0.0987366826073477,-0.990061128563894,4.21829758185035e-08,0.842461822211392,0.0022180202937121,-0.948771771866891,2.8318098953512e-05,-0.527833724622043,0.116846794057431,10,452,1639,1639,-8.49426736836142,1639,11.0941915887621,8.35951582844023
3325,2189,30000,0.783666475871984,0.00731209030909108,0.258034318223526,0.471654414020303,-0.372082594507368,0.289702442755378,0.581836237032578,0.0776424651775618,-0.986053931589361,1.62741585547923e-07,0.820181874561751,0.00365919657215064,-0.79192257437834,0.00632568906007925,-0.698393223889008,0.0246756799456002,10,580,1632,1632,-8.43196568288128,1632,10.4384021729426,7.86757798116199
3325,2196,30000,0.905854532800858,0.000306370636626863,0.247762548079358,0.490082108395251,-0.375973587796,0.284286684836356,0.590601319902316,0.0722209636020179,-0.983973428995289,2.83115455110632e-07,0.81102668852046,0.00441102741487898,-0.79098715441959,0.00643239140148124,-0.693535042558186,0.0261326812335476,10,583,1625,1625,-8.33772740834448,1625,10.2636434785705,7.72194244372483
3325,2198,30000,0.904698104419975,0.000321241295984098,0.245337377734001,0.494477344939863,-0.373745949430898,0.287380540809749,0.589166965840866,0.0730907666719161,-0.983963931328,2.83783918032074e-07,0.810891987093312,0.00442284999005094,-0.790802450981212,0.00645361054295482,-0.692256849783622,0.0265255909617876,10,632,1623,1623,-8.35770307360828,1623,10.2364913482146,7.68521067999168
3325,2199,30000,0.898821249295689,0.0380420931699281,0.352502346351548,0.560656410236135,-0.753738349196308,0.14115541842282,0.492117310200713,0.39971680741696,-0.817429269173991,0.0910362734254322,0.865882170172781,0.0577600935886802,-0.0809549154256024,0.897037698354127,-0.82074241163459,0.0886162962426456,5,897,85,85,-1.96240862792679,85,0.548126488012593,0.659738683275404
3325,2200,30000,0.906870006137705,0.0931299938622949,0.145570921443382,0.854429078556618,-0.738356372521379,0.261643627478621,-0.60126406774313,0.589327960290561,-0.647687865990797,0.352312134009203,0.995713476426452,0.0589661788749569,-0.180261167786642,0.819738832213358,-0.943583514921948,0.0564164850780523,4,911,52,52,-0.910844760298698,52,0.446075628137157,0.410877579427088
3325,2201,30000,0.99822771001096,0.037907633676439,-0.0821994936526871,0.947611067178348,0.542794640145062,0.63473238316637,NA,NA,0.792405815693056,0.417656549655282,NA,NA,0.00618865757987863,0.996060153070947,-0.997105514940245,0.0484490858925928,3,2344,13,13,0.609618269723041,13,0.317023874613751,0.211518080504025
3325,2202,30000,0.999729630645074,0.0148041555175715,-8.46103582008765e-15,0.999999999999995,NA,NA,NA,NA,-8.46103582008765e-15,0.999999999999995,NA,NA,0.00357889490984946,0.997721599873336,-0.999993595735105,0.00227840012668109,3,3550,11,11,0.749756271918218,11,0.352521271573174,0.237368674637338
