sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4206,2224,1e+05,0.628360607259308,0.0516955597654856,0.999510190990891,2.51798581984986e-13,-0.994924388762586,2.88591690564183e-09,0.926300619241278,0.000118004184373799,-0.996192427768473,9.15345277800694e-10,0.928237500733317,0.000106333289750626,-0.758630777967988,0.0109659325113251,-0.75002288345196,0.0124736834180932,10,2,2223,2223,60,41.4976744186046,32.5263191462486,227.393692916893,-0.128961782824819,-1.3644556308347,0.117197380680781,0.946276710244188,0.0014839501864114,0.00030672089288497,0.00324784837061138,10,14.5432555553229,2223,-0.411659847514699
4206,2225,1e+05,0.545269965608094,0.103072331787457,0.967078738387589,4.93881340757341e-06,-0.978584723104953,8.96743357865191e-07,0.944570159780809,3.86160645677869e-05,-0.99541252633246,1.92699063827778e-09,0.917313972843187,0.000184905312671457,-0.75166632765166,0.0121752417091522,-0.820682405172287,0.00362095034400297,10,7,2111,2111,59,40.7869388041875,31.6295065669539,222.965800820629,-0.145332819602172,-1.35004797970435,0.115823972954664,0.945672492363385,0.0014337558238141,0.000355727925276397,0.00315487808013876,10,14.3009280299113,2111,-0.404699750947728
4206,2226,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,39,82,82,14,0.733522727272728,7.96051136363636,0.26902779571281,0.0318922924901187,0.201718749999997,0.0550547748948471,0.819411003202349,0.00151551411936114,-0.00239368586499335,-0.0151400630960826,2,4.11736865427293,82,-0.643116119287772
4206,2227,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,252,53,53,13,0.738461538461539,7.16923076923077,0.272662721893491,0.0157119476268412,0.203076923076919,0.0500430844400589,0.793591362299359,0.00125215515013743,-0.00106474647744806,-0.0137618482210159,2,4.45394057940852,53,-0.642697833974605
4206,2228,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14325,11,11,6,1.1,3.55,0.605,0.1375,0.302499999999995,0.662005900852706,0.354463703271407,0.219125906381901,0.0827507376065882,0.182051622734491,2,2.29635750398072,11,0.345920403210196
4206,2229,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24914,8,8,5,0,3.5,NA,NA,NA,0,0.60290438392548,NA,NA,NA,1,2.02730098830549,8,-0.380754042579203
4206,2238,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,423,42,42,12,0.547619047619048,7.39285714285714,0.149943310657597,-0.014041514041514,-0.150595238095235,0.0570155777521961,0.694724818385954,0.00162538805320836,-0.00146193789108195,-0.0156792838818536,2,4.13355148408199,42,-0.854121364905757
4206,2239,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16490,41,41,11,0.398373983739837,6.46747967479675,0.0793509154603741,-0.0104835258878904,-0.109552845528453,0.0878852296545957,0.818437140092273,0.00386190679572051,-0.00231276920143673,-0.0241684381550134,2,3.78691592968728,41,-0.281928402535437
4206,2240,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21125,22,22,10,4.36363636363636,7.81818181818182,9.52066115702479,-0.207792207792208,-1.19999999999998,0,0.65859218858268,NA,NA,NA,1,2.96347689441141,22,-0.978711686091624
4206,2241,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,51196,13,13,9,3.61538461538461,7.19230769230769,6.53550295857988,-0.301282051282051,-0.99423076923075,0,0.473519930060378,NA,NA,NA,1,2.68413044795953,13,-1.50541236806678
4206,2243,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,68177,11,11,8,3,6.5,4.5,-0.3,-0.824999999999985,0,0.413651075694252,NA,NA,NA,1,2.33027102925187,11,-1.62963707711416
