sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4321,2202,1e+05,0.56672317266379,0.0875954920055673,0.99928331715164,1.15329967798061e-12,0.992429674308097,1.42391980428869e-08,-0.374557565037213,0.286251240034571,0.99312926506452,9.66953539460746e-09,-0.382601138790968,0.275188906601471,-0.725523961674955,0.0175511189328812,-0.731497940150699,0.0162005580533926,10,93,2201,2201,58,41.0450757575758,28.4727670784543,228.394254680915,0.128729346392445,1.36324948218579,0.0297367479034809,0.946454878100857,0.000125015145935145,-3.59447216109028e-05,-0.000388556831236659,10,15.3663571363994,2201,-0.454231525204391
4321,2203,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,283,36,36,10,1.47222222222222,7.01388888888889,1.08371913580247,-0.0460069444444444,0.404861111111112,0.274114028414699,0.658028028845442,0.0375692502868673,0.00856606338795936,-0.0753813578140425,2,1.46019217324625,36,0.44360907023901
4321,2204,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,999,25,25,9,0.71,6.395,0.25205,-0.0338095238095239,0.195250000000001,0.0752461759645525,0.562361895334391,0.0028309934986442,0.00358315123640726,-0.0206926983902519,2,1.92296757684125,25,-0.373874897870373
4321,2205,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15371,24,24,8,0.5,5.5,0.125,-0.025,0.1375,0.0473337076867987,0.63751868556381,0.00112023994168965,0.00236668538433993,-0.0130167696138697,2,1.7033695250046,24,1.71609627512713
4321,2206,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,38685,20,20,7,0.0999999999999996,4.7,0.00499999999999996,-0.00624999999999999,0.0275,0.127040319546317,0.783738531683527,0.00806962139521522,-0.00794001997164485,0.0349360878752374,2,1.44321232198289,20,9.99992754729167
4321,2207,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,57429,10,10,6,0.6,4.2,0.18,-0.075,0.165,0.237002236786127,0.881498881606936,0.0280850301208138,-0.0296252795982659,0.0651756151161851,2,-0.385345869082101,10,-0.498846187981495
4321,2216,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,76133,10,10,4,0.4,3.2,0.08,0.05,-0.11,0.257677965391545,0.871161017304228,0.0331989669241631,-0.0322097456739431,0.070861440482675,2,1.56921767115211,10,9.99992213143227
4321,2228,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,416,11,11,4,0,3.54545454545455,NA,NA,NA,0,0.85933720641505,NA,NA,NA,1,0.274513099800492,11,9.9999238394298
4321,2238,1e+05,0.60638458079824,0.0630922742568472,0.995935444747376,1.18825704831238e-09,0.979649136123798,7.3225743246752e-07,0.062782705214191,0.863202890810887,0.991178830666585,2.62106665260831e-08,-0.0165268874946742,0.963857306627273,-0.700164625030741,0.0241586062105079,-0.757029234323866,0.0112361922354409,10,159,2165,2165,57,39.8712121212121,27.6019550949832,222.952108387469,0.118551066784562,1.34426466813621,0.0518126115625591,0.944578522248938,0.000242432474576496,7.92254175475701e-06,-2.33729452735632e-05,10,15.3539664240613,2165,-0.454209167703827
4321,2239,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2249,12,12,7,0,4.75,NA,NA,NA,0,0.691009593639746,NA,NA,NA,1,1.64930248771528,12,-1.03406217149754
