sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4278,2182,1e+05,0.599075943611522,0.0672192689159785,0.998114624261758,5.5155213729563e-11,0.979524552915968,7.50240575442263e-07,-0.871193475213953,0.00102794822144097,0.986652646092905,1.36642460013547e-07,-0.874805651689019,0.000921578981941379,-0.264098598223597,0.460920593209444,-0.269034200845787,0.452265882292343,10,24,2181,2181,68,46.4283216783217,29.1805592778417,250.591135810974,0.139389374569614,1.41864624060034,0.0488447553529183,0.928190919970967,0.000303437038684672,-0.000136420739809516,-0.00138411715077252,10,13.4821918106828,2181,-0.496751307297104
4278,2183,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,616,49,49,9,0.645424836601307,6.79493464052288,0.208286609850912,-0.033969728242174,0.17749183006536,0.153039208921917,0.679310739026352,0.0117104997337231,0.00805469520641668,-0.0420857824535272,2,3.36150065506675,49,0.389472009286174
4278,2184,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,865,17,17,7,0.3125,5.09375,0.048828125,-0.0260416666666668,0.0859375000000005,0.0275961231317564,0.561491526706007,0.000380773005951531,-0.00229967692764638,0.00758893386123305,2,2.64775319795766,17,-0.313037229964625
4278,2185,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,35134,16,16,6,0.0499999999999998,4.225,0.00124999999999999,-0.00454545454545465,0.0137500000000003,0.140927009967802,0.808754164262443,0.00993021106923244,-0.0128115463607092,0.0387549277411455,2,2.15682432146221,16,9.99992417658179
4278,2192,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,39419,9,9,5,0.0416666666666665,3.35416666666667,0.000868055555555549,0.00833333333333336,-0.0114583333333334,0.124019710721812,0.750070940047995,0.00769044432376097,-0.0248039421443624,0.0341054204484984,2,0.966755966717944,9,1.57227367411191
4278,2200,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5286,32,32,8,0.484615384615385,6.14230769230769,0.117426035502959,-0.0692307692307692,0.133269230769231,0.143447695095259,0.428710034844014,0.0102886206140712,0.0204925278707513,-0.0394481161511963,2,2.58203941944587,32,0.399753230327088
4278,2201,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,41890,28,28,7,0.177884615384615,5.47355769230769,0.0158214681952662,0.0592948717948716,-0.0489182692307691,0.179125906216768,0.492291972783713,0.0160430451389892,-0.0597086354055895,0.0492596242096114,2,1.85282047859542,28,1.50530266668038
4278,2202,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,62348,16,16,6,0.4375,4.78125,0.095703125,-0.0291666666666666,0.1203125,0,0.621549541414356,NA,NA,NA,1,2.11676476547505,16,1.81081038042835
4278,2203,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,69561,14,14,5,0.0714285714285716,3.96428571428571,0.00255102040816328,-0.00549450549450557,0.0196428571428575,0,0.632614896519755,NA,NA,NA,1,1.71403580827211,14,9.9999496365634
4278,2208,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90640,9,9,4,0,3.22222222222222,NA,NA,NA,0,0.690758547008547,NA,NA,NA,1,1.22302449314071,9,9.99992540601707
