sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta
4242,2211,1e+05,0.637853505324184,0.0472283506109186,0.998389221667429,2.93955970676052e-11,-0.990245526732724,3.9147196145157e-08,0.927706833750154,0.000109441988890735,-0.994473818802029,4.05317757955357e-09,0.919656361488268,0.000165304654256015,-0.765053645119766,0.0099278765084468,-0.746530807685139,0.0131247780811705,10,91,2210,2210,51,34.28201354136,30.3813174901442,145.317548760197,-0.103030029695395,-1.08887834303311,0.165709418098919,0.936814995305002,0.00282383852931269,0.000425493166427561,0.0044388705849736,10,13.9405593312213,2210,-0.494990345998122
4242,2212,1e+05,0.593104091457185,0.0707194478658155,0.991910913373416,1.85504345218135e-08,-0.983087775954297,3.50703144609733e-07,0.944803964708972,3.7979514089459e-05,-0.994548348117766,3.83925122461563e-09,0.915268896271582,0.000203372826790282,-0.764029619383769,0.0100885330142088,-0.740392858087315,0.0143262143448737,10,99,2160,2160,50,33.6915844380212,29.4530258056719,142.550979952065,-0.109132289228677,-1.07854427587708,0.16519479632696,0.936556061420355,0.00278967935815775,0.000463975146221522,0.00439089268237084,10,13.8613010363506,2160,-0.499713492840227
4242,2213,1e+05,0.509923540047908,0.132136666117389,0.960590135700789,1.0062585110715e-05,-0.95059488183633,2.45517505478401e-05,0.959453766830348,1.12587673775089e-05,-0.994926410276649,2.88132904313548e-09,0.906683904822719,0.000296021499884613,-0.762911274189242,0.0102660689296677,-0.712078512503605,0.0208729196820242,10,136,2081,2081,49,33.1857199367089,28.5552262625986,138.949839364619,-0.115745532469502,-1.06523875449802,0.164774632161914,0.936298191492298,0.00273373881657958,0.000518181976190885,0.00430587472489574,10,13.7013769570505,2081,-0.503770808942475
4242,2214,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,193,147,147,15,0.0748546511627914,9.6188226744186,0.0028016094003516,-0.000771697434667943,-0.020585029069767,0.0682630475379623,0.919549594354889,0.00232992182958505,0.000703742758123324,0.0187723380729393,2,3.24099767458117,147,-0.418509912203055
4242,2215,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,498,50,50,12,1.65686274509804,7.50490196078431,1.37259707804691,-0.127450980392157,-0.455637254901952,0.0941399286347718,0.799392817842225,0.00443116308167997,0.00724153297190553,0.0258884803745618,2,2.52374413559613,50,-0.0719481232510112
4242,2220,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1276,45,45,11,1.09195402298851,6.78735632183908,0.596181794160391,-0.136494252873563,-0.300287356321833,0.0437292362865435,0.780116193965043,0.000956123053102175,0.00546615453581795,0.0120255399787993,2,2.66130990913683,45,0.11456867702578
4242,2221,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13101,25,25,10,2.14835164835165,6.00274725274725,2.30770740248762,-2.14835164835165,-0.590796703296693,0.219210845886642,0.666792944796719,0.0240266974771685,0.219210845886642,0.0602829826188254,2,1.7511281351802,25,-0.486074030704013
4242,2222,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15917,22,22,9,1.53146853146853,5.31118881118881,1.17269793143919,0.765734265734265,-0.421153846153838,0.0867393764852228,0.619217819987892,0.00376185971652261,-0.0433696882426115,0.0238533285334359,2,2.21157695717405,22,-0.216008417711169
4242,2223,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21719,15,15,8,1.32692307692308,4.41346153846154,0.880362426035503,0.147435897435897,-0.364903846153839,0.0789894328747945,0.57903389793312,0.00311966525294084,0.00877660365275494,-0.0217220940405681,2,2.57587842778544,15,-0.458588525040171
4242,2226,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,33602,12,12,7,1.75,5.125,1.53125,-0.159090909090909,0.481249999999992,0,0.647453099627864,NA,NA,NA,1,2.27266113785244,12,-0.663114748574236
