"sim.id","model","name","LH","aicc","delta.aicc","w","tau0","gamma","lamb0","mu0","alpha","beta","eps"
"5536","1","Equilibrium constant rate",9502.7228336621,-19003.4441658227,175.410494968681,0,0.26457,NA,NA,NA,NA,NA,NA
"5536","2","Equilibrium variable rate",9529.03391882624,-19054.0633314565,124.791329334923,0,0.241095848663169,0.0075579371661266,NA,NA,NA,NA,NA
"5536","3","Birth-death constant rates (coalescent approx)",9529.03390678478,-19054.0633073735,124.791353417844,0,NA,NA,0.241040229188269,0.233466961677447,NA,NA,NA
"5536","4a","Birth-death varying speciation constant extinction (coalescent approx)",9021.92346105873,-18037.8379063398,1141.01675445153,0,NA,NA,0.129660448158035,8.12171847750948e-08,-0.0369660900557874,NA,NA
"5536","4b","Birth-death constant speciation varying extinction (coalescent approx)",9592.4318382845,-19178.8546607914,0,1,NA,NA,0.234577986418106,0.234577985685116,NA,-0.00152256605112436,NA
"5536","4c","Birth-death constant extinction fraction (coalescent approx)",9533.49225845955,-19060.9755011415,117.879159649896,0,NA,NA,0.238137587616303,NA,0.00446553132493543,NA,0.984805758799113
"5536","4d","Birth-death varying speciation and extinction (coalescent approx)",9344.57454547248,-18681.1340590021,497.720601789304,0,NA,NA,0.178283038479499,0.127264857419631,-0.0264356477959281,-0.0391247644426457,NA
"5536","5","Pure birth constant speciation (coalescent approx)",7790.23898805517,-15578.4764746088,3600.37818618254,0,NA,NA,0.04648046875,NA,NA,NA,NA
"5536","6","Pure birth varying speciation (coalescent approx)",9021.92354787566,-18039.8425895553,1139.01207123608,0,NA,NA,0.129679634010509,NA,-0.0369709265323697,NA,NA
"5536-30000","1","Equilibrium constant rate",7027.09659533522,-14052.1917162878,813.249998745636,0,0.09789,NA,NA,NA,NA,NA,NA
"5536-30000","2","Equilibrium variable rate",7243.16620997613,-14482.3279951735,383.113719859979,0,0.0666067868612106,0.0182520695541792,NA,NA,NA,NA,NA
"5536-30000","3","Birth-death constant rates (coalescent approx)",7243.16659440454,-14482.3287640303,383.112951003153,0,NA,NA,0.0666450051894351,0.0483936890343137,NA,NA,NA
"5536-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7435.72528392765,-14865.4417150335,0,1,NA,NA,0.0688961087790355,0.0688961071881929,0.00590270530661668,NA,NA
"5536-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7422.26105141415,-14838.5132500065,26.928465027011,0,NA,NA,0.0747408424502952,0.0747408406616449,NA,-0.00948220884587442,NA
"5536-30000","4c","Birth-death constant extinction fraction (coalescent approx)",7290.92003251839,-14575.8312122149,289.610502818519,0,NA,NA,0.0631125375329729,NA,0.0113739048179887,NA,0.894948118895164
"5536-30000","4d","Birth-death varying speciation and extinction (coalescent approx)",7406.34815237733,-14804.6815446071,60.7601704264162,0,NA,NA,0.0613467004010492,0.0613459170544486,0.0135494815835217,0.0104530359710789,NA
"5536-30000","5","Pure birth constant speciation (coalescent approx)",6991.46617948817,-13980.9308845937,884.510830439724,0,NA,NA,0.034421875,NA,NA,NA,NA
"5536-30000","6","Pure birth varying speciation (coalescent approx)",7068.59617339171,-14133.1879220047,732.253793028811,0,NA,NA,0.0454503219786603,NA,-0.00855632673820492,NA,NA
